Post ID;Original Text;Ground Truth (Manual)
201;kmrn gue mkn sate;kemarin gue makan sate
202;rumah2 di tepi pantai;rumah-rumah di tepi pantai
203;gue seneng bgt;gue senang banget
204;mantap pol;mantap pol
205;aq m4kan mie ayam;aku makan mi ayam
206;gue brgkt lusa;gue berangkat lusa
207;kmrn aq ke pantai;kemarin aku ke pantai
208;rumah2 di pegunungan;rumah-rumah di pegunungan
209;gue gk ngerti;gue gak ngerti
210;mantappp bro;mantap bro
211;aq mkn nasi uduk;aku makan nasi uduk
212;gue lg nyari makanan;gue lagi nyari makanan
213;kmrn gue ke taman;kemarin gue ke taman
214;rumah2 di komplek itu;rumah-rumah di komplek itu
215;gue laper nih;gue lapar nih
216;mantappp bgt;mantap banget
217;aq m4kan soto;aku makan soto
218;gue mkn nasi goreng;gue makan nasi goreng
219;kmrn aq ke toko;kemarin aku ke toko
220;rumah2 di pinggir kali;rumah-rumah di pinggir kali
221;gue senenggg;gue senang
222;mantap polll;mantap pol
223;aq lagi di pasar;aku lagi di pasar
224;gue brgkt pagi;gue berangkat pagi
225;kmrn gue mkn bakso;kemarin gue makan bakso
226;rumah2 di kampung itu;rumah-rumah di kampung itu
227;gue gk paham;gue gak paham
228;mantap bgt nih;mantap banget nih
229;aq mau makan;aku mau makan
230;gue lg di taman;gue lagi di taman
231;kmrn aq m4kan sate;kemarin aku makan sate
232;rumah2 di perbukitan;rumah-rumah di perbukitan
233;gue laper bgt;gue lapar banget
234;mantappp pol;mantap pol
235;aq m4kan bubur;aku makan bubur
236;gue lagi di kampus;gue lagi di kampus
237;kmrn gue mkn sate;kemarin gue makan sate
238;rumah2 di tepi hutan;rumah-rumah di tepi hutan
239;gue seneng bgt;gue senang banget
240;mantap pol;mantap pol
241;aq m4kan mie ayam;aku makan mi ayam
242;gue brgkt lusa;gue berangkat lusa
243;kmrn aq ke pantai;kemarin aku ke pantai
244;rumah2 di pegunungan;rumah-rumah di pegunungan
245;gue gk ngerti;gue gak ngerti
246;mantappp bro;mantap bro
247;aq mkn nasi uduk;aku makan nasi uduk
248;gue lg nyari makanan;gue lagi nyari makanan
249;kmrn gue ke taman;kemarin gue ke taman
250;rumah2 di komplek itu;rumah-rumah di komplek itu
251;gue laper nih;gue lapar nih
252;mantappp bgt;mantap banget
253;aq m4kan soto;aku makan soto
254;gue mkn nasi goreng;gue makan nasi goreng
255;kmrn aq ke toko;kemarin aku ke toko
256;rumah2 di pinggir kali;rumah-rumah di pinggir kali
257;gue senenggg;gue senang
