Post ID;Original Text;Ground Truth (Manual);Indo-Normalizer Output;GPT Output
26;kmrn2 gue ke pantai;kemarin-kemarin gue ke pantai;kmrn-kmrn gue aku pantai;Kemarin saya pergi ke pantai.
27;gue lg ngumpul sm tmn2;gue lagi ngumpul sama teman-teman;gue lagi ngumpul sama tmn-tmn;Saya sedang berkumpul dengan teman-teman.
28;kmu knp diem aja?;kamu kenapa diam saja?;kmu knp diam saja?;Mengapa kamu diam saja?
29;aku lpy dr hpku;aku lepas dari hpku;aku dy dari hidupku;Saya sedang menggunakan ponsel saya.
30;wkwkwk bener bgt;wkwkwk benar banget;wkwkwk benar banget;Haha, benar sekali.
31;sy knl dia dr sma;saya kenal dia dari SMA;saya kenal dia dari sma;Saya kenal dia dari SMA.
32;blg sm mama;bilang sama mama;blg sama mama;Bilang sama Mama.
33;dia kocak bgt;dia kocak banget;dia kocak banget;Dia sangat lucu.
34;gue gk trllu paham;gue gak terlalu paham;gue enggak terlalu paham;Saya tidak terlalu paham.
35;ntar malem mkn2 yuk;ntar malam makan-makan yuk;entar malam mkn-mkn yuk;Nanti malam kita makan-makan, ya?
36;aq lgi sibuk bgt;aku lagi sibuk banget;aku lgi sibuk banget;Saya sedang sangat sibuk.
37;kmrn aq ke mall bsr;kemarin aku ke mal besar;kmrn aku aku mall besar;Kemarin saya pergi ke mal besar.
38;gue pgn mkn mie ayam;gue pengen makan mi ayam;gue pgn mkn mie ayam;Saya ingin makan mie ayam.
39;pls dtg cepet;tolong datang cepat;polisi dtg cepat;Tolong datang cepat.
40;gue lg maen ml nih;gue lagi main ML nih;gue lagi main sambil nih;Saya sedang bermain Mobile Legends saat ini.
41;jgn lma2 di luar;jangan lama-lama di luar;jgn ma dari luar;Jangan lama-lama di luar.
42;gue udh sampe nih;gue sudah sampai nih;gue udh sampai nih;Saya sudah sampai di sini.
43;kmu brgkt jam brp?;kamu berangkat jam berapa?;kmu berangkat jam brp?;Kamu berangkat jam berapa?
44;gue bgt2 seneng;gue banget-banget senang;gue batu senang;Saya sangat senang.
45;loh aq blum siap;loh aku belum siap;loh aku belum siap;Saya belum siap.
46;mantapppp polll;mantap pol;mantap pol;Mantap sekali!
47;kmu gmn kabarnya?;kamu gimana kabarnya?;kmu gmn kabarnya?;Bagaimana kabarmu?
48;aq brgkt pgi2 bgt;aku berangkat pagi-pagi banget;aku berangkat pi banget;Saya berangkat pagi-pagi sekali.
49;gue nyampe stasiun nih;gue sampai stasiun nih;gue sampai stasiun nih;Saya sudah sampai di stasiun.
50;dri td ujan gede;dari tadi hujan gede;dri tadi ujan gede;Dari tadi hujan deras.
51;4ku lg mkn bakso;aku lagi makan bakso;Aku lagi mkn bakso;Saya sedang makan bakso.
52;rumah2 di sini rapi2;rumah-rumah di sini rapi-rapi;rumah-rumah dari sini rapi-rapi;Rumah-rumah di sini rapi.
53;gue gk tw;gue gak tahu;gue enggak btw;Saya tidak tahu.
54;kmrn aq mkn pecel lele;kemarin aku makan pecel lele;kmrn aku mkn pecel lele;Kemarin saya makan pecel lele.
55;km lg ngapain sih?;kamu lagi ngapain sih?;km lagi mengapa sih?;Kamu sedang melakukan apa?
56;bgs bgt bajunya;bagus banget bajunya;bgs banget bajunya;Bagus sekali bajunya.
57;aq seneeeng pny temen kyk km;aku senang punya teman kayak kamu;aku senang pny teman kyk km;Saya senang punya teman seperti kamu.
58;gue dpt hadiah dr dia;gue dapat hadiah dari dia;gue dapat hadiah dari dia;Saya mendapatkan hadiah dari dia.
59;sy sllu ingat pesanmu;saya selalu ingat pesanmu;saya selalu ingat pesan;Saya selalu ingat pesanmu.
60;kmrn2 aq ke pasar;kemarin-kemarin aku ke pasar;kmrn-kmrn aku aku pasar;Kemarin saya ke pasar.
61;aq m4u ikut;aku mau ikut;aku mAu ikut;Saya mau ikut.
62;kmu hrs dtg besok;kamu harus datang besok;kmu hrs dtg besok;Kamu harus datang besok.
63;gue laper nih;gue lapar nih;gue laper nih;Saya lapar.
64;aku kngn ortu;aku kangen orang tua;aku keuangan orang tua;Saya ingin bertemu orang tua.
65;gue gaje liat berita;gue tidak jelas lihat berita;gue enggak jelas lihat berita;Saya tidak tahu apa yang terjadi dengan berita.
66;kmrn aq lht pameran lukisan;kemarin aku lihat pameran lukisan;kmrn aku lihat pameran lukisan;Kemarin saya melihat pameran lukisan.
67;aq sukaaaaaa bgt;aku suka banget;aku suka banget;Saya sangat suka.
68;mantap polll bgt;mantap pol banget;mantap pol banget;Sangat luar biasa.
69;kmrn aq ke bioskop;kemarin aku ke bioskop;kmrn aku aku bioskop;Kemarin saya pergi ke bioskop.
70;gue lg jln2 sore;gue lagi jalan-jalan sore;gue lagi jln-jln sore;Saya sedang berjalan-jalan sore.
71;aq bru beli bju baru;aku baru beli baju baru;aku bru beli baju baru;Saya baru saja membeli baju baru.
72;skrg aq di kantor;sekarang aku di kantor;skrg aku dari kantor;Sekarang saya di kantor.
73;gue gpp kok;gue gak apa-apa kok;gue enggak apa-apa kok;Saya tidak apa-apa.
74;gue brgkt pgi;gue berangkat pagi;gue berangkat pagi;Saya berangkat pagi.
75;kmu blg sm dia;kamu bilang sama dia;kmu blg sama dia;Kamu bilang sama dia.
76;gue bsok ujian;gue besok ujian;gue besok ujian;Saya besok ujian.
77;mantappp guys;mantap guys;mantap guys;Mantap, teman-teman!
78;@budi ayo main;@budi ayo main;bumi ayo main;Budi, ayo kita bermain.
79;gue nntn bola;gue nonton bola;gue menonton bola;Saya menonton bola.
80;aq mkn nasi uduk;aku makan nasi uduk;aku mkn nasi uduk;Saya makan nasi uduk.
81;kmrn gue mkn martabak;kemarin gue makan martabak;kmrn gue mkn martabak;Kemarin saya makan martabak.
82;aq lagi m4en game;aku lagi main game;aku lagi main game;Saya sedang bermain game.
83;rumah2 di desa sepi;rumah-rumah di desa sepi;rumah-rumah dari desa sepi;Rumah-rumah di desa sepi.
84;kmu brgkt lusa;kamu berangkat lusa;kmu berangkat lusa;Kamu berangkat lusa.
85;gue pgn jajan;gue pengen jajan;gue pgn jajan;Saya ingin jajan.
86;aq nnton tv;aku nonton TV;aku menonton cctv;Saya menonton televisi.
87;gue dpt kabar baik;gue dapat kabar baik;gue dapat kabar baik;Saya mendapatkan kabar baik.
88;mantappp bgt;mantap banget;mantap banget;Mantap sekali!
89;kmrn aq ke kebun binatang;kemarin aku ke kebun binatang;kmrn aku aku kebun binatang;Kemarin saya pergi ke kebun binatang.
90;gue skrg di rumah;gue sekarang di rumah;gue skrg dari rumah;Saya sekarang di rumah.
91;aku lgi makan siang;aku lagi makan siang;aku lgi makan siang;Saya sedang makan siang.
92;gaje bener;tidak jelas benar;enggak jelas benar;Tidak masuk akal.
93;gue mkn ayam goreng;gue makan ayam goreng;gue mkn ayam goreng;Saya makan ayam goreng.
94;aq seneng bgt hari ini;aku senang banget hari ini;aku senang banget hari ini;Saya sangat senang hari ini.
95;gue lagi di jalan;gue lagi di jalan;gue lagi dari jalan;Saya sedang dalam perjalanan.
96;gue m4u tidur;gue mau tidur;gue mAu tidur;Saya mau tidur.
97;gue lg nugas;gue lagi nugas;gue lagi penugasan;Saya sedang mengerjakan tugas.
98;gue mkn soto ayam;gue makan soto ayam;gue mkn soto ayam;Saya makan soto ayam.
99;mantappp;mantap;mantap;Mantap.
100;aq sukaaaa banget;aku suka banget;aku suka banget;Saya sangat suka.
101;gue lg di kampus;gue lagi di kampus;gue lagi dari kampus;Saya sedang di kampus.
102;kmrn aq mkn bakmi;kemarin aku makan bakmi;kmrn aku mkn bakmi;Kemarin saya makan bakmi.
103;gue b4ru pulang;gue baru pulang;gue bAru pulang;Saya baru pulang.
104;mantapppp pol;mantap pol;mantap pol;Mantap sekali.
105;aq mkn pecel;aku makan pecel;aku mkn pecel;Saya makan pecel.
106;gue lg nyari buku;gue lagi nyari buku;gue lagi mencari buku;Saya sedang mencari buku.
107;kmrn gue ke museum;kemarin gue ke museum;kmrn gue aku museum;Kemarin saya pergi ke museum.
108;rumah2nya bagus;rumah-rumahnya bagus;rumahnya bagus;Rumah-rumahnya bagus.
109;gue gk ngerti;gue gak ngerti;gue enggak mengerti;Saya tidak mengerti.
110;aq lg di cafe;aku lagi di kafe;aku lagi dari cafe;Saya sedang di kafe.
111;mantap bgt;mantap banget;mantap banget;Mantap sekali.
112;aku pgn liburan;aku pengen liburan;aku pgn liburan;Saya ingin berlibur.
113;gue mkn sate;gue makan sate;gue mkn sate;Saya makan sate.
114;4ku lg mkn di pasar;aku lagi makan di pasar;Aku lagi mkn dari pasar;Saya sedang makan di pasar.
115;kmrn2 gue sibuk;kemarin-kemarin gue sibuk;kmrn-kmrn gue sibuk;Kemarin saya sibuk.
116;aq mkn bakso;aku makan bakso;aku mkn bakso;Saya makan bakso.
117;gue lg di mobil;gue lagi di mobil;gue lagi dari mobil;Saya sedang di mobil.
118;mantappp bro;mantap bro;mantap bro;Mantap, bro!
119;kmu hrs belajar;kamu harus belajar;kmu hrs belajar;Kamu harus belajar.
120;gue bgt seneng;gue banget senang;gue banget senang;Saya sangat senang.
121;hati2 di jalan;hati-hati di jalan;hati-hati dari jalan;Hati-hati di jalan.
122;aq p4gi mkn bubur;aku pagi makan bubur;aku pAgi mkn bubur;Saya pergi makan bubur.
123;kmrn aq m4in bola;kemarin aku main bola;kmrn aku mAin bola;Kemarin saya bermain bola.
124;gue lg liat tv;gue lagi lihat TV;gue lagi lihat cctv;Saya sedang menonton televisi.
125;aku senenggg;aku senang;aku senang;Saya senang.
126;gue brgkt skrg;gue berangkat sekarang;gue berangkat skrg;Saya berangkat sekarang.
127;mantappp nih;mantap nih;mantap nih;Mantap sekali ini.
128;gue lg di kelas;gue lagi di kelas;gue lagi dari kelas;Saya sedang di kelas.
129;kmrn aq ke toko buku;kemarin aku ke toko buku;kmrn aku aku toko buku;Kemarin saya pergi ke toko buku.
130;rumah2nya rame;rumah-rumahnya rame;rumahnya rame;Rumah-rumahnya ramai.
131;gue mkn nasi goreng;gue makan nasi goreng;gue mkn nasi goreng;Saya makan nasi goreng.
132;aq lagi makan;aku lagi makan;aku lagi makan;Saya sedang makan.
133;gue skrg di taman;gue sekarang di taman;gue skrg dari taman;Saya sekarang di taman.
134;mantap polll;mantap pol;mantap pol;Mantap sekali.
135;aq pgn tidur;aku pengen tidur;aku pgn tidur;Saya ingin tidur.
136;gue mkn mie ayam;gue makan mi ayam;gue mkn mie ayam;Saya makan mie ayam.
137;kmrn gue ke pasar;kemarin gue ke pasar;kmrn gue aku pasar;Kemarin saya pergi ke pasar.
138;rumah2 di kota besar;rumah-rumah di kota besar;rumah-rumah dari kota besar;Rumah-rumah di kota besar.
139;gue laper bgt;gue lapar banget;gue laper banget;Saya sangat lapar.
140;aku kngn kamu;aku kangen kamu;aku keuangan kamu;Aku ingin kamu.
141;gue gaje liat berita;gue tidak jelas lihat berita;gue enggak jelas lihat berita;Saya tidak tahu apa yang terjadi di berita.
142;mantap bgt sih;mantap banget sih;mantap banget sih;Sangat bagus sekali.
143;aq brgkt pagi;aku berangkat pagi;aku berangkat pagi;Saya berangkat pagi.
144;gue m4in game;gue main game;gue mAin game;Saya bermain permainan.
145;kmrn2 aq sibuk;kemarin-kemarin aku sibuk;kmrn-kmrn aku sibuk;Kemarin saya sibuk.
146;rumah2 itu rapi;rumah-rumah itu rapi;rumah-rumah itu rapi;Rumah-rumah itu rapi.
147;gue lagi makan sate;gue lagi makan sate;gue lagi makan sate;Saya sedang makan sate.
148;aq senanggg;aku senang;aku senang;Saya senang.
149;mantappp ajah;mantap saja;mantap saja;Mantap saja.
150;gue mkn mie ayam;gue makan mi ayam;gue mkn mie ayam;Saya makan mie ayam.
151;aku lg di rumah;aku lagi di rumah;aku lagi dari rumah;Saya sedang di rumah.
152;gue brgkt skrg;gue berangkat sekarang;gue berangkat skrg;Saya berangkat sekarang.
153;kmrn aq ke mall;kemarin aku ke mal;kmrn aku aku mall;Kemarin saya pergi ke mal.
154;rumah2 di kampung;rumah-rumah di kampung;rumah-rumah dari kampung;Rumah-rumah di kampung.
155;gue gk paham;gue gak paham;gue enggak paham;Saya tidak paham.
156;mantappp polll;mantap pol;mantap pol;Mantap sekali!
157;aq mau tidur;aku mau tidur;aku mau tidur;Saya mau tidur.
158;gue lg makan bakso;gue lagi makan bakso;gue lagi makan bakso;Saya sedang makan bakso.
159;kmrn aq ke pasar;kemarin aku ke pasar;kmrn aku aku pasar;Kemarin saya ke pasar.
160;rumah2 itu besar;rumah-rumah itu besar;rumah-rumah itu besar;Rumah-rumah itu besar.
161;gue laparrr;gue lapar;gue lapar;Saya lapar.
162;mantap bgt;mantap banget;mantap banget;Mantap sekali.
163;aq mkn nasi uduk;aku makan nasi uduk;aku mkn nasi uduk;Saya makan nasi uduk.
164;gue lg di cafe;gue lagi di kafe;gue lagi dari cafe;Saya sedang di kafe.
165;kmrn gue ke bioskop;kemarin gue ke bioskop;kmrn gue aku bioskop;Kemarin saya pergi ke bioskop.
166;rumah2 di kota;rumah-rumah di kota;rumah-rumah dari kota;Rumah-rumah di kota.
167;gue seneng bgt;gue senang banget;gue senang banget;Saya sangat senang.
168;mantap pol;mantap pol;mantap pol;Mantap sekali.
169;aq m4kan sate;aku makan sate;aku mAkan sate;Saya makan sate.
170;gue brgkt pagi;gue berangkat pagi;gue berangkat pagi;Saya berangkat pagi.
171;kmrn aq ke museum;kemarin aku ke museum;kmrn aku aku museum;Kemarin saya pergi ke museum.
172;rumah2 di desa;rumah-rumah di desa;rumah-rumah dari desa;Rumah-rumah di desa.
173;gue gk ngerti;gue gak ngerti;gue enggak mengerti;Saya tidak mengerti.
174;mantappp bro;mantap bro;mantap bro;Mantap, bro!
175;aq mkn bakso;aku makan bakso;aku mkn bakso;Saya makan bakso.
176;gue lg nyari buku;gue lagi nyari buku;gue lagi mencari buku;Saya sedang mencari buku.
177;kmrn gue ke pasar;kemarin gue ke pasar;kmrn gue aku pasar;Kemarin saya pergi ke pasar.
178;rumah2 itu bagus;rumah-rumah itu bagus;rumah-rumah itu bagus;Rumah-rumah itu bagus.
179;gue laper nih;gue lapar nih;gue laper nih;Saya lapar.
180;mantappp bgt;mantap banget;mantap banget;Mantap sekali!
181;aq m4kan pecel;aku makan pecel;aku mAkan pecel;Saya makan pecel.
182;gue mkn nasi goreng;gue makan nasi goreng;gue mkn nasi goreng;Saya makan nasi goreng.
183;kmrn aq ke kebun;kemarin aku ke kebun;kmrn aku aku kebun;Kemarin saya pergi ke kebun.
184;rumah2 di jalan itu;rumah-rumah di jalan itu;rumah-rumah dari jalan itu;Rumah-rumah di jalan itu.
185;gue senenggg;gue senang;gue senang;Saya senang.
186;mantap polll;mantap pol;mantap pol;Mantap sekali.
187;aq lagi di taman;aku lagi di taman;aku lagi dari taman;Saya sedang di taman.
188;gue brgkt sekarang;gue berangkat sekarang;gue berangkat sekarang;Saya berangkat sekarang.
189;kmrn gue mkn bakso;kemarin gue makan bakso;kmrn gue mkn bakso;Kemarin saya makan bakso.
190;rumah2nya rapi;rumah-rumahnya rapi;rumahnya rapi;Rumah-rumahnya rapi.
191;gue gk paham;gue gak paham;gue enggak paham;Saya tidak paham.
192;mantap bgt nih;mantap banget nih;mantap banget nih;Mantap sekali ini.
193;aq mau makan;aku mau makan;aku mau makan;Saya mau makan.
194;gue lg di kantor;gue lagi di kantor;gue lagi dari kantor;Saya sedang di kantor.
195;kmrn aq m4kan sate;kemarin aku makan sate;kmrn aku mAkan sate;Kemarin saya makan sate.
196;rumah2 di pinggir jalan;rumah-rumah di pinggir jalan;rumah-rumah dari pinggir jalan;Rumah-rumah di pinggir jalan.
197;gue laper bgt;gue lapar banget;gue laper banget;Saya sangat lapar.
198;mantappp pol;mantap pol;mantap pol;Mantap sekali.
199;aq m4kan bubur;aku makan bubur;aku mAkan bubur;Saya makan bubur.
200;gue lagi di kampus;gue lagi di kampus;gue lagi dari kampus;Saya sedang di kampus.
201;kmrn gue mkn sate;kemarin gue makan sate;kmrn gue mkn sate;Kemarin saya makan sate.
202;rumah2 di tepi pantai;rumah-rumah di tepi pantai;rumah-rumah dari tepi pantai;Rumah-rumah di tepi pantai.
203;gue seneng bgt;gue senang banget;gue senang banget;Saya sangat senang.
204;mantap pol;mantap pol;mantap pol;Mantap sekali.
205;aq m4kan mie ayam;aku makan mi ayam;aku mAkan mie ayam;Saya makan mie ayam.
206;gue brgkt lusa;gue berangkat lusa;gue berangkat lusa;Saya berangkat lusa.
207;kmrn aq ke pantai;kemarin aku ke pantai;kmrn aku aku pantai;Kemarin saya pergi ke pantai.
208;rumah2 di pegunungan;rumah-rumah di pegunungan;rumah-rumah dari pegunungan;Rumah-rumah di pegunungan.
209;gue gk ngerti;gue gak ngerti;gue enggak mengerti;Saya tidak mengerti.
210;mantappp bro;mantap bro;mantap bro;Mantap, bro!
211;aq mkn nasi uduk;aku makan nasi uduk;aku mkn nasi uduk;Saya makan nasi uduk.
212;gue lg nyari makanan;gue lagi nyari makanan;gue lagi mencari makanan;Saya sedang mencari makanan.
213;kmrn gue ke taman;kemarin gue ke taman;kmrn gue aku taman;Kemarin saya pergi ke taman.
214;rumah2 di komplek itu;rumah-rumah di komplek itu;rumah-rumah dari komplek itu;Rumah-rumah di kompleks itu.
215;gue laper nih;gue lapar nih;gue laper nih;Saya lapar.
216;mantappp bgt;mantap banget;mantap banget;Mantap sekali!
217;aq m4kan soto;aku makan soto;aku mAkan soto;Saya makan soto.
218;gue mkn nasi goreng;gue makan nasi goreng;gue mkn nasi goreng;Saya makan nasi goreng.
219;kmrn aq ke toko;kemarin aku ke toko;kmrn aku aku toko;Kemarin saya pergi ke toko.
220;rumah2 di pinggir kali;rumah-rumah di pinggir kali;rumah-rumah dari pinggir kali;Rumah-rumah di pinggir kali.
221;gue senenggg;gue senang;gue senang;Saya senang.
222;mantap polll;mantap pol;mantap pol;Mantap sekali.
223;aq lagi di pasar;aku lagi di pasar;aku lagi dari pasar;Saya sedang di pasar.
224;gue brgkt pagi;gue berangkat pagi;gue berangkat pagi;Saya berangkat pagi.
225;kmrn gue mkn bakso;kemarin gue makan bakso;kmrn gue mkn bakso;Kemarin saya makan bakso.
226;rumah2 di kampung itu;rumah-rumah di kampung itu;rumah-rumah dari kampung itu;Rumah-rumah di kampung itu.
227;gue gk paham;gue gak paham;gue enggak paham;Saya tidak paham.
228;mantap bgt nih;mantap banget nih;mantap banget nih;Mantap sekali ini.
229;aq mau makan;aku mau makan;aku mau makan;Saya mau makan.
230;gue lg di taman;gue lagi di taman;gue lagi dari taman;Saya sedang di taman.
231;kmrn aq m4kan sate;kemarin aku makan sate;kmrn aku mAkan sate;Kemarin saya makan sate.
232;rumah2 di perbukitan;rumah-rumah di perbukitan;rumah-rumah dari perbukitan;Rumah-rumah di perbukitan.
233;gue laper bgt;gue lapar banget;gue laper banget;Saya sangat lapar.
234;mantappp pol;mantap pol;mantap pol;Mantap sekali.
235;aq m4kan bubur;aku makan bubur;aku mAkan bubur;Saya makan bubur.
236;gue lagi di kampus;gue lagi di kampus;gue lagi dari kampus;Saya sedang di kampus.
237;kmrn gue mkn sate;kemarin gue makan sate;kmrn gue mkn sate;Kemarin saya makan sate.
238;rumah2 di tepi hutan;rumah-rumah di tepi hutan;rumah-rumah dari tepi hutan;Rumah-rumah di tepi hutan.
239;gue seneng bgt;gue senang banget;gue senang banget;Saya sangat senang.
240;mantap pol;mantap pol;mantap pol;Mantap sekali.
241;aq m4kan mie ayam;aku makan mi ayam;aku mAkan mie ayam;Saya makan mie ayam.
242;gue brgkt lusa;gue berangkat lusa;gue berangkat lusa;Saya berangkat lusa.
243;kmrn aq ke pantai;kemarin aku ke pantai;kmrn aku aku pantai;Kemarin saya pergi ke pantai.
244;rumah2 di pegunungan;rumah-rumah di pegunungan;rumah-rumah dari pegunungan;Rumah-rumah di pegunungan.
245;gue gk ngerti;gue gak ngerti;gue enggak mengerti;Saya tidak mengerti.
246;mantappp bro;mantap bro;mantap bro;Mantap, bro!
247;aq mkn nasi uduk;aku makan nasi uduk;aku mkn nasi uduk;Saya makan nasi uduk.
248;gue lg nyari makanan;gue lagi nyari makanan;gue lagi mencari makanan;Saya sedang mencari makanan.
249;kmrn gue ke taman;kemarin gue ke taman;kmrn gue aku taman;Kemarin saya pergi ke taman.
250;rumah2 di komplek itu;rumah-rumah di komplek itu;rumah-rumah dari komplek itu;Rumah-rumah di kompleks itu.
251;gue laper nih;gue lapar nih;gue laper nih;Saya lapar.
252;mantappp bgt;mantap banget;mantap banget;Mantap sekali!
253;aq m4kan soto;aku makan soto;aku mAkan soto;Saya makan soto.
254;gue mkn nasi goreng;gue makan nasi goreng;gue mkn nasi goreng;Saya makan nasi goreng.
255;kmrn aq ke toko;kemarin aku ke toko;kmrn aku aku toko;Kemarin saya pergi ke toko.
256;rumah2 di pinggir kali;rumah-rumah di pinggir kali;rumah-rumah dari pinggir kali;Rumah-rumah di pinggir kali.
257;gue senenggg;gue senang;gue senang;Saya senang.
